UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Current Status
874.0,P00874,L,303.3,309.0,1599.0,47.4,235.0,1.0,Heat Failure,
154.0,P00154,L,300.0,301.8,1512.0,37.4,100.0,0.0,No Failure,
769.0,P00769,H,303.9,308.4,1577.0,47.6,201.0,1.0,Power Failure,
425.0,P00425,H,297.8,306.9,1405.0,39.3,12.0,0.0,No Failure,
975.0,P00975,H,304.3,309.7,1582.0,46.1,226.0,1.0,Power Failure,
96.0,P00096,H,302.5,303.5,1498.0,41.8,12.0,0.0,No Failure,
443.0,P00443,L,296.5,303.5,1524.0,41.3,79.0,0.0,No Failure,
302.0,P00302,L,299.2,302.1,1471.0,39.1,76.0,0.0,No Failure,
401.0,P00401,L,301.1,306.8,1489.0,36.0,36.0,0.0,No Failure,
114.0,P00114,L,297.9,305.9,1527.0,33.2,137.0,0.0,No Failure,
631.0,P00631,M,304.9,308.9,1570.0,46.3,232.0,1.0,Heat Failure,
242.0,P00242,M,301.8,305.6,1482.0,43.1,183.0,0.0,No Failure,
7.0,P00007,L,302.2,307.1,1458.0,43.7,26.0,0.0,No Failure,
532.0,P00532,H,303.9,309.2,1572.0,46.1,241.0,1.0,Heat Failure,
291.0,P00291,L,302.3,303.1,1410.0,31.9,124.0,0.0,No Failure,
475.0,P00475,M,301.8,304.7,1426.0,34.7,130.0,0.0,No Failure,
45.0,P00045,L,300.0,302.1,1522.0,30.7,146.0,0.0,No Failure,
345.0,P00345,L,302.9,307.1,1412.0,37.6,99.0,0.0,No Failure,
706.0,P00706,M,303.7,309.4,1595.0,49.0,243.0,1.0,Power Failure,
760.0,P00760,L,303.1,309.0,1558.0,45.3,248.0,1.0,Power Failure,
898.0,P00898,H,303.5,308.6,1552.0,49.9,203.0,1.0,Mechanical Failure,
482.0,P00482,L,296.1,306.2,1450.0,44.0,173.0,0.0,No Failure,
584.0,P00584,H,304.3,309.3,1579.0,46.1,205.0,1.0,Power Failure,
582.0,P00582,M,304.9,308.7,1598.0,49.7,246.0,1.0,Power Failure,
39.0,P00039,L,295.2,305.1,1407.0,43.7,129.0,0.0,No Failure,
607.0,P00607,M,304.9,308.7,1555.0,47.5,236.0,1.0,Heat Failure,
101.0,P00101,M,302.4,305.3,1437.0,35.4,28.0,0.0,No Failure,
813.0,P00813,L,304.2,309.4,1589.0,45.6,234.0,1.0,Power Failure,
77.0,P00077,M,295.4,301.4,1418.0,42.6,69.0,0.0,No Failure,
155.0,P00155,H,296.1,305.5,1476.0,38.7,158.0,0.0,No Failure,
918.0,P00918,H,304.8,309.0,1552.0,45.8,237.0,1.0,Heat Failure,
311.0,P00311,H,302.3,304.2,1543.0,40.9,46.0,0.0,No Failure,
736.0,P00736,M,304.3,308.4,1562.0,46.1,217.0,1.0,Power Failure,
712.0,P00712,L,303.9,308.7,1564.0,48.6,247.0,1.0,Mechanical Failure,
822.0,P00822,H,304.0,309.7,1593.0,48.0,234.0,1.0,Mechanical Failure,
948.0,P00948,L,303.2,308.4,1561.0,48.4,244.0,1.0,Heat Failure,
914.0,P00914,M,304.0,309.2,1560.0,46.9,242.0,1.0,Mechanical Failure,
892.0,P00892,L,303.3,309.6,1570.0,46.5,240.0,1.0,Power Failure,
550.0,P00550,M,303.5,309.2,1559.0,48.7,229.0,1.0,Power Failure,
455.0,P00455,H,302.9,303.7,1548.0,40.4,179.0,0.0,No Failure,
249.0,P00249,H,299.2,302.4,1518.0,35.5,145.0,0.0,No Failure,
217.0,P00217,L,297.4,305.0,1460.0,40.0,110.0,0.0,No Failure,
806.0,P00806,M,304.1,309.1,1576.0,46.5,205.0,1.0,Power Failure,
652.0,P00652,H,304.1,309.0,1594.0,50.0,227.0,1.0,Mechanical Failure,
327.0,P00327,H,296.6,306.5,1473.0,35.9,101.0,0.0,No Failure,
679.0,P00679,M,303.2,309.1,1572.0,49.2,210.0,1.0,Heat Failure,
248.0,P00248,M,297.9,303.9,1500.0,37.2,113.0,0.0,No Failure,
209.0,P00209,M,302.5,300.2,1424.0,40.4,104.0,0.0,No Failure,
471.0,P00471,M,302.7,306.5,1401.0,37.2,30.0,0.0,No Failure,
233.0,P00233,H,301.1,304.0,1409.0,40.6,193.0,0.0,No Failure,
762.0,P00762,H,303.6,309.6,1597.0,48.3,215.0,1.0,Heat Failure,
544.0,P00544,M,304.6,309.0,1552.0,49.8,248.0,1.0,Heat Failure,
669.0,P00669,H,304.3,308.6,1594.0,48.2,207.0,1.0,Mechanical Failure,
46.0,P00046,L,302.1,308.0,1538.0,40.8,27.0,0.0,No Failure,
190.0,P00190,H,301.5,303.1,1481.0,38.6,43.0,0.0,No Failure,
867.0,P00867,H,304.2,309.4,1588.0,48.8,238.0,1.0,Heat Failure,
43.0,P00043,H,297.8,303.3,1513.0,38.3,89.0,0.0,No Failure,
38.0,P00038,H,300.0,305.4,1452.0,42.8,89.0,0.0,No Failure,
609.0,P00609,M,303.5,309.3,1563.0,46.3,212.0,1.0,Heat Failure,
205.0,P00205,M,297.1,302.8,1549.0,32.7,61.0,0.0,No Failure,
727.0,P00727,H,304.3,308.8,1566.0,45.8,248.0,1.0,Mechanical Failure,
28.0,P00028,M,300.1,303.1,1529.0,42.3,182.0,0.0,No Failure,
137.0,P00137,H,296.7,305.7,1483.0,44.1,2.0,0.0,No Failure,
133.0,P00133,H,301.4,303.0,1446.0,34.0,124.0,0.0,No Failure,
717.0,P00717,L,304.3,309.2,1587.0,49.2,233.0,1.0,Mechanical Failure,
67.0,P00067,L,297.8,304.9,1418.0,39.1,136.0,0.0,No Failure,
622.0,P00622,M,303.4,308.6,1557.0,48.4,221.0,1.0,Power Failure,
549.0,P00549,L,303.5,308.1,1580.0,45.7,201.0,1.0,Mechanical Failure,
865.0,P00865,L,303.2,308.2,1558.0,46.2,240.0,1.0,Mechanical Failure,
976.0,P00976,H,303.9,309.3,1571.0,46.2,247.0,1.0,Power Failure,
508.0,P00508,H,304.0,309.2,1595.0,49.2,246.0,1.0,Heat Failure,
384.0,P00384,M,295.7,305.5,1455.0,33.1,91.0,0.0,No Failure,
640.0,P00640,M,304.4,308.2,1585.0,48.8,240.0,1.0,Mechanical Failure,
516.0,P00516,H,304.2,308.6,1588.0,48.7,247.0,1.0,Heat Failure,
680.0,P00680,M,304.3,308.1,1596.0,47.6,212.0,1.0,Heat Failure,
825.0,P00825,H,304.2,309.9,1591.0,45.2,221.0,1.0,Heat Failure,
944.0,P00944,L,304.2,309.6,1586.0,49.1,212.0,1.0,Mechanical Failure,
29.0,P00029,H,301.9,302.1,1493.0,43.6,178.0,0.0,No Failure,
231.0,P00231,L,297.2,307.4,1481.0,39.7,39.0,0.0,No Failure,
838.0,P00838,M,304.6,309.8,1570.0,46.3,238.0,1.0,Heat Failure,
629.0,P00629,L,303.6,309.1,1574.0,45.6,206.0,1.0,Mechanical Failure,
266.0,P00266,L,301.2,306.0,1499.0,43.1,149.0,0.0,No Failure,
111.0,P00111,L,298.1,302.5,1430.0,40.5,162.0,0.0,No Failure,
438.0,P00438,M,296.8,306.3,1472.0,31.1,1.0,0.0,No Failure,
285.0,P00285,L,300.3,302.0,1462.0,42.8,162.0,0.0,No Failure,
102.0,P00102,L,298.7,304.2,1539.0,31.0,21.0,0.0,No Failure,
501.0,P00501,H,304.5,308.0,1562.0,46.6,243.0,1.0,Mechanical Failure,
418.0,P00418,H,298.3,307.1,1463.0,37.3,196.0,0.0,No Failure,
173.0,P00173,M,299.5,305.0,1543.0,34.9,129.0,0.0,No Failure,
705.0,P00705,M,303.3,309.5,1597.0,49.5,225.0,1.0,Mechanical Failure,
638.0,P00638,M,303.4,308.6,1575.0,46.8,243.0,1.0,Power Failure,
200.0,P00200,H,299.9,300.3,1451.0,33.8,190.0,0.0,No Failure,
156.0,P00156,M,295.9,307.9,1476.0,32.8,91.0,0.0,No Failure,
262.0,P00262,L,299.8,306.5,1450.0,36.0,109.0,0.0,No Failure,
343.0,P00343,M,295.2,305.8,1502.0,36.7,167.0,0.0,No Failure,
967.0,P00967,M,303.1,308.9,1573.0,49.3,249.0,1.0,Mechanical Failure,
378.0,P00378,M,299.0,306.0,1436.0,32.9,110.0,0.0,No Failure,
931.0,P00931,L,305.0,309.0,1589.0,48.5,224.0,1.0,Mechanical Failure,
665.0,P00665,M,304.8,309.7,1556.0,49.2,224.0,1.0,Power Failure,
434.0,P00434,H,298.4,307.1,1506.0,37.7,40.0,0.0,No Failure,
906.0,P00906,H,304.5,308.0,1553.0,47.1,210.0,1.0,Power Failure,
223.0,P00223,M,298.6,305.9,1414.0,43.5,134.0,0.0,No Failure,
572.0,P00572,L,303.4,308.6,1565.0,48.8,248.0,1.0,Heat Failure,
823.0,P00823,H,304.2,308.2,1565.0,47.4,209.0,1.0,Mechanical Failure,
845.0,P00845,L,304.4,309.8,1573.0,49.6,209.0,1.0,Heat Failure,
537.0,P00537,L,303.8,310.0,1598.0,45.8,210.0,1.0,Heat Failure,
847.0,P00847,M,304.0,308.3,1594.0,48.3,223.0,1.0,Power Failure,
273.0,P00273,M,302.0,300.5,1443.0,40.2,91.0,0.0,No Failure,
693.0,P00693,H,304.1,308.9,1577.0,48.0,210.0,1.0,Mechanical Failure,
411.0,P00411,H,295.8,300.1,1430.0,40.4,120.0,0.0,No Failure,
365.0,P00365,L,300.2,306.3,1452.0,40.7,144.0,0.0,No Failure,
551.0,P00551,M,303.0,309.7,1598.0,47.3,212.0,1.0,Heat Failure,
192.0,P00192,L,296.0,307.1,1422.0,35.5,67.0,0.0,No Failure,
828.0,P00828,M,304.9,309.9,1566.0,48.8,220.0,1.0,Mechanical Failure,
162.0,P00162,M,300.4,306.8,1541.0,31.8,98.0,0.0,No Failure,
703.0,P00703,H,303.1,309.5,1586.0,45.3,230.0,1.0,Heat Failure,
776.0,P00776,L,304.4,308.8,1591.0,48.8,224.0,1.0,Mechanical Failure,
396.0,P00396,M,299.9,302.4,1421.0,35.0,54.0,0.0,No Failure,
497.0,P00497,L,300.6,304.6,1430.0,42.6,87.0,0.0,No Failure,
310.0,P00310,H,296.0,305.4,1493.0,38.4,91.0,0.0,No Failure,
16.0,P00016,M,297.4,305.5,1499.0,44.2,18.0,0.0,No Failure,
807.0,P00807,M,303.3,308.0,1593.0,45.2,240.0,1.0,Power Failure,
383.0,P00383,L,297.9,302.4,1500.0,44.9,94.0,0.0,No Failure,
710.0,P00710,L,304.8,308.7,1595.0,45.4,248.0,1.0,Power Failure,
440.0,P00440,L,299.0,306.8,1497.0,31.1,168.0,0.0,No Failure,
91.0,P00091,L,296.7,303.5,1495.0,43.3,177.0,0.0,No Failure,
474.0,P00474,H,299.9,302.5,1498.0,41.2,22.0,0.0,No Failure,
597.0,P00597,H,303.0,308.1,1566.0,47.0,243.0,1.0,Heat Failure,
603.0,P00603,M,304.4,309.1,1597.0,47.7,230.0,1.0,Power Failure,
430.0,P00430,L,298.1,301.2,1517.0,36.6,181.0,0.0,No Failure,
854.0,P00854,L,303.8,308.8,1566.0,46.7,248.0,1.0,Power Failure,
580.0,P00580,M,304.4,308.0,1583.0,45.7,207.0,1.0,Heat Failure,
1.0,P00001,H,297.1,304.5,1463.0,37.6,53.0,0.0,No Failure,
286.0,P00286,H,296.9,302.8,1483.0,33.2,115.0,0.0,No Failure,
469.0,P00469,M,298.6,300.4,1466.0,37.9,193.0,0.0,No Failure,
461.0,P00461,H,302.2,304.4,1499.0,37.9,154.0,0.0,No Failure,
687.0,P00687,M,304.7,308.4,1569.0,49.6,227.0,1.0,Power Failure,
340.0,P00340,M,295.9,300.7,1512.0,39.9,113.0,0.0,No Failure,
274.0,P00274,M,297.3,303.0,1509.0,36.3,30.0,0.0,No Failure,
175.0,P00175,L,302.7,306.0,1407.0,44.6,166.0,0.0,No Failure,
24.0,P00024,H,296.0,305.5,1473.0,39.2,37.0,0.0,No Failure,
848.0,P00848,M,303.6,308.2,1559.0,48.4,239.0,1.0,Power Failure,
958.0,P00958,H,303.7,309.4,1552.0,47.8,202.0,1.0,Power Failure,
203.0,P00203,H,301.1,304.5,1482.0,38.2,130.0,0.0,No Failure,
571.0,P00571,H,303.8,309.9,1551.0,47.5,240.0,1.0,Heat Failure,
781.0,P00781,H,304.2,309.0,1550.0,47.4,225.0,1.0,Mechanical Failure,
576.0,P00576,M,303.2,308.5,1594.0,50.0,243.0,1.0,Power Failure,
684.0,P00684,H,303.1,309.7,1565.0,45.0,235.0,1.0,Heat Failure,
385.0,P00385,M,297.1,301.7,1475.0,30.2,70.0,0.0,No Failure,
491.0,P00491,M,300.6,302.1,1501.0,35.3,138.0,0.0,No Failure,
903.0,P00903,H,303.3,308.7,1597.0,45.2,215.0,1.0,Mechanical Failure,
132.0,P00132,M,303.0,305.3,1501.0,37.7,146.0,0.0,No Failure,
304.0,P00304,H,296.0,307.2,1532.0,34.3,171.0,0.0,No Failure,
108.0,P00108,L,302.5,301.6,1419.0,33.7,100.0,0.0,No Failure,
921.0,P00921,L,304.4,309.1,1587.0,49.9,233.0,1.0,Power Failure,
756.0,P00756,M,303.6,309.4,1582.0,48.4,229.0,1.0,Mechanical Failure,
504.0,P00504,M,303.3,308.2,1564.0,47.3,239.0,1.0,Mechanical Failure,
546.0,P00546,M,304.5,308.9,1552.0,46.0,246.0,1.0,Mechanical Failure,
524.0,P00524,L,304.2,308.6,1552.0,45.9,220.0,1.0,Heat Failure,
985.0,P00985,M,303.1,308.3,1571.0,47.1,242.0,1.0,Heat Failure,
896.0,P00896,M,303.8,308.3,1562.0,47.2,238.0,1.0,Heat Failure,
432.0,P00432,M,296.3,305.7,1477.0,32.5,28.0,0.0,No Failure,
367.0,P00367,H,298.7,305.2,1473.0,40.6,172.0,0.0,No Failure,
731.0,P00731,M,303.3,309.4,1578.0,45.5,225.0,1.0,Power Failure,
392.0,P00392,H,296.1,305.8,1508.0,34.8,127.0,0.0,No Failure,
152.0,P00152,H,300.1,300.5,1418.0,37.2,75.0,0.0,No Failure,
729.0,P00729,L,304.4,309.6,1569.0,46.6,238.0,1.0,Power Failure,
346.0,P00346,M,296.4,303.4,1523.0,37.9,196.0,0.0,No Failure,
893.0,P00893,H,304.6,308.1,1579.0,49.9,237.0,1.0,Power Failure,
708.0,P00708,H,303.5,308.7,1566.0,46.5,217.0,1.0,Heat Failure,
437.0,P00437,L,296.7,306.1,1533.0,38.9,10.0,0.0,No Failure,
902.0,P00902,M,304.9,309.4,1563.0,47.5,244.0,1.0,Heat Failure,
457.0,P00457,M,298.8,304.8,1423.0,35.1,19.0,0.0,No Failure,
415.0,P00415,H,295.1,303.7,1530.0,36.6,76.0,0.0,No Failure,
726.0,P00726,L,304.0,309.9,1566.0,45.0,215.0,1.0,Power Failure,
970.0,P00970,H,303.5,309.7,1563.0,46.2,218.0,1.0,Power Failure,
239.0,P00239,L,298.6,302.7,1512.0,36.6,121.0,0.0,No Failure,
201.0,P00201,L,295.7,305.3,1487.0,42.4,174.0,0.0,No Failure,
381.0,P00381,L,296.9,304.2,1442.0,43.4,101.0,0.0,No Failure,
144.0,P00144,H,303.0,303.4,1472.0,44.8,56.0,0.0,No Failure,
118.0,P00118,H,297.5,301.1,1402.0,33.2,24.0,0.0,No Failure,
267.0,P00267,M,295.9,304.4,1545.0,36.7,3.0,0.0,No Failure,
732.0,P00732,M,303.9,308.3,1597.0,48.0,200.0,1.0,Heat Failure,
509.0,P00509,L,303.3,308.9,1576.0,49.8,235.0,1.0,Power Failure,
244.0,P00244,H,295.6,301.9,1519.0,39.1,184.0,0.0,No Failure,
298.0,P00298,M,298.4,307.6,1495.0,42.6,96.0,0.0,No Failure,
234.0,P00234,M,301.4,300.5,1448.0,38.4,111.0,0.0,No Failure,
494.0,P00494,H,300.6,301.5,1429.0,38.3,20.0,0.0,No Failure,
553.0,P00553,H,303.6,309.2,1579.0,48.7,228.0,1.0,Heat Failure,
981.0,P00981,H,304.4,308.4,1594.0,47.4,242.0,1.0,Mechanical Failure,
183.0,P00183,M,295.1,303.9,1462.0,30.9,105.0,0.0,No Failure,
344.0,P00344,H,298.2,301.5,1515.0,32.8,141.0,0.0,No Failure,
784.0,P00784,M,304.1,309.9,1567.0,47.8,237.0,1.0,Mechanical Failure,
442.0,P00442,M,296.4,307.1,1491.0,41.3,130.0,0.0,No Failure,
463.0,P00463,M,301.9,304.2,1467.0,38.7,77.0,0.0,No Failure,
112.0,P00112,H,295.2,307.1,1457.0,31.0,172.0,0.0,No Failure,
51.0,P00051,H,297.7,303.6,1420.0,30.0,43.0,0.0,No Failure,
86.0,P00086,H,295.0,303.4,1430.0,35.5,42.0,0.0,No Failure,
168.0,P00168,M,299.3,303.6,1432.0,36.5,55.0,0.0,No Failure,
202.0,P00202,H,300.1,302.3,1456.0,37.3,0.0,0.0,No Failure,
110.0,P00110,M,296.0,301.0,1453.0,37.2,173.0,0.0,No Failure,
176.0,P00176,L,297.2,305.8,1402.0,34.3,188.0,0.0,No Failure,
301.0,P00301,L,297.1,303.8,1424.0,31.7,54.0,0.0,No Failure,
395.0,P00395,M,302.6,303.1,1415.0,39.4,132.0,0.0,No Failure,
453.0,P00453,M,302.3,301.4,1450.0,34.2,22.0,0.0,No Failure,
594.0,P00594,M,303.9,309.2,1588.0,47.3,241.0,1.0,Power Failure,
47.0,P00047,H,302.7,301.4,1516.0,36.7,71.0,0.0,No Failure,
542.0,P00542,L,303.3,308.2,1568.0,48.7,220.0,1.0,Mechanical Failure,
299.0,P00299,L,296.5,301.7,1413.0,44.9,50.0,0.0,No Failure,
272.0,P00272,M,300.5,306.6,1508.0,36.1,16.0,0.0,No Failure,
578.0,P00578,M,304.3,308.5,1554.0,47.9,220.0,1.0,Heat Failure,
391.0,P00391,H,300.1,303.9,1422.0,43.6,67.0,0.0,No Failure,
966.0,P00966,H,304.8,308.6,1590.0,47.6,213.0,1.0,Power Failure,
22.0,P00022,H,301.0,305.3,1433.0,35.1,193.0,0.0,No Failure,
913.0,P00913,L,303.9,309.5,1551.0,49.1,225.0,1.0,Heat Failure,
723.0,P00723,L,304.1,309.7,1562.0,49.6,248.0,1.0,Mechanical Failure,
663.0,P00663,L,303.6,309.4,1554.0,45.6,225.0,1.0,Power Failure,
305.0,P00305,L,296.0,306.3,1504.0,33.6,192.0,0.0,No Failure,
770.0,P00770,M,303.6,309.9,1593.0,48.4,247.0,1.0,Mechanical Failure,
826.0,P00826,M,303.9,309.4,1567.0,48.2,240.0,1.0,Power Failure,
421.0,P00421,H,295.4,304.6,1520.0,44.8,7.0,0.0,No Failure,
934.0,P00934,H,303.8,308.5,1593.0,45.9,211.0,1.0,Power Failure,
821.0,P00821,L,303.0,309.6,1580.0,45.9,216.0,1.0,Mechanical Failure,
956.0,P00956,H,303.8,308.7,1591.0,48.2,238.0,1.0,Power Failure,
711.0,P00711,M,303.4,309.5,1587.0,49.1,220.0,1.0,Heat Failure,
719.0,P00719,H,303.0,308.1,1586.0,45.1,243.0,1.0,Mechanical Failure,
10.0,P00010,L,295.1,302.5,1419.0,32.0,108.0,0.0,No Failure,
90.0,P00090,L,295.7,301.1,1511.0,34.1,16.0,0.0,No Failure,
479.0,P00479,L,295.5,304.8,1502.0,43.2,104.0,0.0,No Failure,
817.0,P00817,L,303.4,309.6,1550.0,47.0,203.0,1.0,Mechanical Failure,
405.0,P00405,L,301.3,301.8,1502.0,41.2,2.0,0.0,No Failure,
909.0,P00909,M,304.7,309.9,1568.0,46.1,221.0,1.0,Mechanical Failure,
724.0,P00724,L,304.1,308.6,1597.0,47.0,213.0,1.0,Power Failure,
561.0,P00561,H,304.7,309.3,1569.0,49.3,222.0,1.0,Heat Failure,
6.0,P00006,H,300.7,306.8,1548.0,44.1,22.0,0.0,No Failure,
426.0,P00426,M,299.0,303.8,1508.0,30.8,190.0,0.0,No Failure,
614.0,P00614,M,303.2,308.8,1596.0,47.9,232.0,1.0,Mechanical Failure,
786.0,P00786,L,303.3,309.3,1579.0,45.5,206.0,1.0,Mechanical Failure,
623.0,P00623,H,305.0,309.0,1589.0,47.8,245.0,1.0,Mechanical Failure,
673.0,P00673,H,304.0,308.1,1577.0,49.3,229.0,1.0,Heat Failure,
390.0,P00390,L,295.0,302.3,1491.0,38.7,166.0,0.0,No Failure,
76.0,P00076,H,300.6,300.8,1488.0,44.2,17.0,0.0,No Failure,
449.0,P00449,M,297.6,304.7,1487.0,39.3,105.0,0.0,No Failure,
73.0,P00073,L,295.2,304.7,1527.0,37.6,173.0,0.0,No Failure,
245.0,P00245,L,296.5,305.9,1492.0,36.1,133.0,0.0,No Failure,
651.0,P00651,M,303.9,308.6,1554.0,45.8,226.0,1.0,Mechanical Failure,
21.0,P00021,M,297.9,303.5,1408.0,38.2,111.0,0.0,No Failure,
435.0,P00435,L,298.1,303.5,1525.0,33.0,157.0,0.0,No Failure,
60.0,P00060,L,301.0,305.0,1469.0,39.6,115.0,0.0,No Failure,
533.0,P00533,M,303.4,309.3,1576.0,47.4,247.0,1.0,Heat Failure,
606.0,P00606,M,304.3,309.3,1595.0,46.1,209.0,1.0,Heat Failure,
635.0,P00635,L,304.2,309.2,1580.0,48.0,205.0,1.0,Heat Failure,
356.0,P00356,L,298.9,304.5,1427.0,42.3,188.0,0.0,No Failure,
485.0,P00485,L,295.7,304.5,1437.0,40.3,83.0,0.0,No Failure,
109.0,P00109,H,302.5,301.5,1413.0,38.0,70.0,0.0,No Failure,
400.0,P00400,H,297.1,303.3,1470.0,43.5,153.0,0.0,No Failure,
876.0,P00876,M,303.2,308.4,1588.0,48.9,244.0,1.0,Heat Failure,
700.0,P00700,M,303.6,308.8,1588.0,47.8,240.0,1.0,Heat Failure,
300.0,P00300,H,297.3,304.2,1400.0,30.3,82.0,0.0,No Failure,
140.0,P00140,M,295.8,301.6,1524.0,37.4,27.0,0.0,No Failure,
289.0,P00289,M,300.8,304.9,1548.0,42.5,27.0,0.0,No Failure,
336.0,P00336,H,299.3,305.4,1464.0,42.4,80.0,0.0,No Failure,
353.0,P00353,H,301.0,301.2,1472.0,43.4,18.0,0.0,No Failure,
804.0,P00804,L,303.3,308.5,1570.0,47.8,227.0,1.0,Mechanical Failure,
791.0,P00791,M,304.0,308.7,1591.0,49.8,234.0,1.0,Power Failure,
716.0,P00716,L,304.0,308.5,1550.0,48.4,223.0,1.0,Mechanical Failure,
718.0,P00718,H,304.7,308.9,1552.0,45.2,207.0,1.0,Mechanical Failure,
713.0,P00713,L,303.9,308.3,1556.0,48.6,248.0,1.0,Heat Failure,
917.0,P00917,M,304.3,308.4,1559.0,46.2,215.0,1.0,Mechanical Failure,
1000.0,P01000,L,304.3,308.1,1553.0,47.4,214.0,1.0,Power Failure,
842.0,P00842,M,304.8,308.0,1576.0,45.0,207.0,1.0,Heat Failure,
119.0,P00119,L,302.7,302.7,1485.0,42.9,171.0,0.0,No Failure,
518.0,P00518,L,304.2,308.5,1556.0,49.0,235.0,1.0,Mechanical Failure,
408.0,P00408,M,300.5,303.5,1456.0,42.9,6.0,0.0,No Failure,
68.0,P00068,H,298.5,301.5,1469.0,38.6,163.0,0.0,No Failure,
681.0,P00681,M,303.8,308.6,1566.0,49.7,211.0,1.0,Power Failure,
741.0,P00741,L,303.2,308.9,1575.0,48.0,201.0,1.0,Mechanical Failure,
739.0,P00739,M,304.8,309.1,1588.0,46.4,223.0,1.0,Heat Failure,
957.0,P00957,L,303.5,309.6,1588.0,47.8,239.0,1.0,Power Failure,
307.0,P00307,L,300.9,300.7,1422.0,30.8,87.0,0.0,No Failure,
451.0,P00451,H,298.1,307.7,1442.0,37.5,16.0,0.0,No Failure,
849.0,P00849,M,304.5,309.2,1551.0,45.0,223.0,1.0,Mechanical Failure,
253.0,P00253,L,301.4,304.4,1472.0,35.8,113.0,0.0,No Failure,
980.0,P00980,M,303.1,309.8,1555.0,48.1,228.0,1.0,Mechanical Failure,
104.0,P00104,M,297.4,303.3,1544.0,30.6,28.0,0.0,No Failure,
23.0,P00023,M,299.0,302.5,1442.0,37.1,39.0,0.0,No Failure,
905.0,P00905,H,303.5,309.1,1566.0,48.6,213.0,1.0,Heat Failure,
259.0,P00259,M,300.8,303.2,1543.0,30.6,2.0,0.0,No Failure,
488.0,P00488,H,302.7,301.0,1455.0,45.0,199.0,0.0,No Failure,
373.0,P00373,M,302.1,304.2,1457.0,40.1,1.0,0.0,No Failure,
950.0,P00950,H,303.3,309.2,1597.0,46.2,212.0,1.0,Mechanical Failure,
738.0,P00738,M,303.8,309.9,1596.0,47.2,212.0,1.0,Mechanical Failure,
207.0,P00207,H,296.0,301.7,1432.0,40.7,144.0,0.0,No Failure,
797.0,P00797,L,304.6,308.6,1570.0,49.8,209.0,1.0,Mechanical Failure,
339.0,P00339,L,300.9,305.6,1462.0,36.1,128.0,0.0,No Failure,
888.0,P00888,M,303.0,308.9,1587.0,49.5,234.0,1.0,Heat Failure,
290.0,P00290,M,302.6,303.9,1424.0,31.9,102.0,0.0,No Failure,
404.0,P00404,L,297.5,302.0,1429.0,34.8,157.0,0.0,No Failure,
989.0,P00989,M,304.6,309.7,1596.0,47.6,241.0,1.0,Heat Failure,
218.0,P00218,L,295.0,303.8,1488.0,34.3,127.0,0.0,No Failure,
733.0,P00733,H,303.8,308.6,1583.0,47.3,231.0,1.0,Power Failure,
428.0,P00428,H,295.0,300.1,1431.0,36.8,162.0,0.0,No Failure,
452.0,P00452,M,295.3,301.4,1475.0,35.4,153.0,0.0,No Failure,
277.0,P00277,L,300.4,305.3,1409.0,42.1,106.0,0.0,No Failure,
625.0,P00625,L,304.1,310.0,1571.0,48.7,242.0,1.0,Power Failure,
219.0,P00219,H,302.7,307.7,1407.0,36.9,50.0,0.0,No Failure,
973.0,P00973,L,304.5,310.0,1593.0,49.0,227.0,1.0,Mechanical Failure,
503.0,P00503,L,303.8,308.2,1557.0,47.8,206.0,1.0,Heat Failure,
149.0,P00149,H,300.9,300.3,1476.0,36.8,168.0,0.0,No Failure,
767.0,P00767,L,304.2,309.2,1581.0,47.6,213.0,1.0,Power Failure,
941.0,P00941,M,303.7,308.7,1578.0,49.5,209.0,1.0,Mechanical Failure,
998.0,P00998,H,304.8,309.6,1562.0,48.6,202.0,1.0,Heat Failure,
988.0,P00988,M,304.0,309.0,1551.0,47.3,211.0,1.0,Heat Failure,
866.0,P00866,H,303.2,309.0,1553.0,45.0,246.0,1.0,Power Failure,
271.0,P00271,H,296.7,307.8,1454.0,37.4,138.0,0.0,No Failure,
125.0,P00125,H,298.3,303.9,1538.0,34.0,150.0,0.0,No Failure,
792.0,P00792,H,304.1,309.9,1569.0,45.3,239.0,1.0,Heat Failure,
465.0,P00465,H,302.2,302.1,1460.0,44.5,140.0,0.0,No Failure,
583.0,P00583,M,303.3,308.6,1562.0,49.4,234.0,1.0,Heat Failure,
351.0,P00351,H,300.4,304.7,1409.0,40.8,160.0,0.0,No Failure,
145.0,P00145,M,301.9,302.3,1476.0,44.2,107.0,0.0,No Failure,
34.0,P00034,L,300.7,306.1,1471.0,40.0,67.0,0.0,No Failure,
872.0,P00872,H,304.0,309.0,1554.0,47.0,203.0,1.0,Mechanical Failure,
481.0,P00481,M,298.6,303.2,1440.0,38.9,114.0,0.0,No Failure,
382.0,P00382,L,295.1,303.2,1451.0,31.8,193.0,0.0,No Failure,
496.0,P00496,M,295.1,300.8,1518.0,38.1,81.0,0.0,No Failure,
938.0,P00938,H,303.4,308.5,1570.0,48.8,224.0,1.0,Power Failure,
545.0,P00545,H,304.1,309.7,1576.0,49.1,237.0,1.0,Mechanical Failure,
702.0,P00702,L,304.7,308.7,1589.0,49.7,243.0,1.0,Mechanical Failure,
477.0,P00477,L,301.4,303.4,1545.0,42.6,147.0,0.0,No Failure,
